name,price,rating,delivery,link
,"1,195.",4.1 out of 5,"Tuesday, 8 November",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo0NzcxNjg2NzczMDg3MzI5OjE2Njc2NjU2MTA6c3BfYXRmOjIwMDcwOTE0Mzg2MzA1OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FLogitech-MK215-Wireless-Keyboard-Mouse%2Fdp%2FB012MQS060%2Fref%3Dsr_1_1_sspa%3Fcrid%3D309P6O4N3SM5C%26keywords%3Dkeyboard%26qid%3D1667665610%26qu%3DeyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%253D%253D%26sprefix%3Dkeyboar%252Caps%252C272%26sr%3D8-1-spons%26psc%3D1
,849.,3.9 out of 5,"Thursday, 10 November",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo0NzcxNjg2NzczMDg3MzI5OjE2Njc2NjU2MTA6c3BfYXRmOjIwMDc4NTYxNzc1NDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FKeyboard-Multicolor-Backlight-Multimedia-Aluminum%2Fdp%2FB09SN34HZ7%2Fref%3Dsr_1_2_sspa%3Fcrid%3D309P6O4N3SM5C%26keywords%3Dkeyboard%26qid%3D1667665610%26qu%3DeyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%253D%253D%26sprefix%3Dkeyboar%252Caps%252C272%26sr%3D8-2-spons%26psc%3D1
,"4,299.",4.3 out of 5,"Wednesday, 9 November",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo0NzcxNjg2NzczMDg3MzI5OjE2Njc2NjU2MTA6c3BfbXRmOjIwMDQ0NjEzOTQ2Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FHUO-JI-Typewriter-Mechanical-Swappable%2Fdp%2FB09DY31WMP%2Fref%3Dsr_1_11_sspa%3Fcrid%3D309P6O4N3SM5C%26keywords%3Dkeyboard%26qid%3D1667665610%26qu%3DeyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%253D%253D%26sprefix%3Dkeyboar%252Caps%252C272%26sr%3D8-11-spons%26psc%3D1
,"1,690.",4.3 out of 5,"Monday, 7 November",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo0NzcxNjg2NzczMDg3MzI5OjE2Njc2NjU2MTA6c3BfbXRmOjIwMDYzMjQwOTMwODk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FOffbeat-Bluetooth-Typewriter-Compatible-Tablet-Dark%2Fdp%2FB09SXTDD77%2Fref%3Dsr_1_12_sspa%3Fcrid%3D309P6O4N3SM5C%26keywords%3Dkeyboard%26qid%3D1667665610%26qu%3DeyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%253D%253D%26sprefix%3Dkeyboar%252Caps%252C272%26sr%3D8-12-spons%26psc%3D1
,549.,4.5 out of 5,"Monday, 7 November",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo0NzcxNjg2NzczMDg3MzI5OjE2Njc2NjU2MTA6c3BfYnRmOjIwMDY2MTM2Njg5Njk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FAmazon-Keyboard-Windows-Interface-Computer%2Fdp%2FB09SPQ4ZWT%2Fref%3Dsr_1_21_sspa%3Fcrid%3D309P6O4N3SM5C%26keywords%3Dkeyboard%26qid%3D1667665610%26qu%3DeyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%253D%253D%26sprefix%3Dkeyboar%252Caps%252C272%26sr%3D8-21-spons%26psc%3D1
,"2,750.",4.2 out of 5,"Wednesday, 9 November",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo0NzcxNjg2NzczMDg3MzI5OjE2Njc2NjU2MTA6c3BfYnRmOjIwMDE4NTU1NzEyNDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FGEAR-Typewriter-Inspired-Wireless-Keyboard%2Fdp%2FB08XQ89VFP%2Fref%3Dsr_1_22_sspa%3Fcrid%3D309P6O4N3SM5C%26keywords%3Dkeyboard%26qid%3D1667665610%26qu%3DeyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%253D%253D%26sprefix%3Dkeyboar%252Caps%252C272%26sr%3D8-22-spons%26psc%3D1%26smid%3DA2LPYS6TUD99YN
,549.,4.3 out of 5,"Tuesday, 8 November",https://www.amazon.in//Dell-KB216-Wired-Multimedia-Keyboard/dp/B00ZYLMQH0/ref=sr_1_3?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-3
,329.,3.6 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-Km2100-Multimedia-USB-Keyboard/dp/B077T3BG5L/ref=sr_1_4?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-4
,448.,3.9 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-Zeb-JUDWAA-750-Wired-Keyboard/dp/B07KR5P3YD/ref=sr_1_5?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-5
,"1,329.",4.3 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-Transformer-Gaming-Multimedia-Keyboard/dp/B07BRKK9JQ/ref=sr_1_6?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-6
,"1,399.",4 out of 5,"Monday, 7 November",https://www.amazon.in//HP-Multimedia-Wireless-Keyboard-4SC12PA/dp/B07V82W5CN/ref=sr_1_7?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-7
,899.,4.3 out of 5,"Thursday, 10 November",https://www.amazon.in//Redgear-Blaze-backlit-keyboard-aluminium/dp/B073QQR2H2/ref=sr_1_8?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-8
,372.,3.8 out of 5,"Monday, 7 November",https://www.amazon.in//Quantum-QHM-7406-Spill-Resistant-Wired-Keyboard/dp/B08CF4SCNP/ref=sr_1_9?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-9
,"1,149.",4.3 out of 5,"Monday, 7 November",https://www.amazon.in//HP-K500F-Gaming-Keyboard-7ZZ97AA/dp/B08498D67S/ref=sr_1_10?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-10
,799.,4.2 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-Zeb-War-Gaming-Keyboard-Mouse/dp/B0814Z58YM/ref=sr_1_13?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-13
,549.,4 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-DLK01-Multimedia-Keyboard-White/dp/B07RT67LV1/ref=sr_1_14?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-14
,"2,649.",4.6 out of 5,"Wednesday, 9 November",https://www.amazon.in//Redragon-K617-Keyboard-Mechanical-Supported/dp/B09BVCVTBC/ref=sr_1_15?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-15
,"2,595.",4.4 out of 5,"Monday, 7 November",https://www.amazon.in//Logitech-Multi-Device-Bluetooth-Keyboard-Black/dp/B00MUTWLW4/ref=sr_1_16?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-16
,"1,097.",4.2 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-Zeb-Transformer-k-Gaming-Keyboard-Multicolor/dp/B0819JFQJH/ref=sr_1_17?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-17
,549.,4.5 out of 5,"Monday, 7 November",https://www.amazon.in//Amazon-Keyboard-Windows-Interface-Computer/dp/B09SPQ4ZWT/ref=sr_1_18?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-18
,"2,994.",4.5 out of 5,"Monday, 7 November",https://www.amazon.in//Logitech-920-007596-Multi-Device-Bluetooth-Keyboard/dp/B0148NPH9I/ref=sr_1_19?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-19
,699.,3.5 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-Zeb-Companion-107-Wireless-Keyboard/dp/B087FXHB6J/ref=sr_1_20?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-20
